beta_ldpred2_cc beta_lassosum_cc
6.17218897226388e-05 0
-2.7898433397714e-06 0
9.44482811809151e-05 0
-5.86476473925466e-05 0
-2.49447480080973e-05 0
0.000255203573211343 0.000518878154275424
-0.000136356479059939 0
-6.84234244185101e-06 0
-0.000211211158862177 -0.00103931344983478
0.000227557756164017 0.000480429927419347
4.57961606415956e-05 0
-9.47888267422128e-05 0
-0.000111091866941002 0
-4.81164542981442e-05 0
-6.153102361195e-05 0
-1.89981556440345e-05 0
-5.28799838611548e-05 0
-4.65224237033914e-05 0
-3.44285287935904e-05 0
-1.49926426082949e-05 0
-5.04129521672586e-05 0
9.02660847434029e-05 0
-0.000117588725627613 0
-1.98212814677127e-05 0
-5.50474117615986e-05 0
-3.79312840206301e-05 0
-5.20901467209473e-05 0
4.33579014146578e-06 0
8.20345323706157e-06 0
9.88430270323341e-06 0
4.7609389350692e-05 0
-0.000686178582654746 -0.00320853644085077
-5.36544682507721e-05 0
-1.13576233983892e-05 0
-0.000150057458686358 0
-0.000180745246095766 -0.000469562925724107
-0.000128660339423294 0
1.03757564406107e-05 0
-0.000699129012591273 -0.00210165638189182
0.000406009772987195 0.00149604471145558
-0.000697675882235458 -0.00213058193244225
9.13545618128974e-05 0
0.000209052054555614 9.67140506790555e-05
-7.66276704756349e-06 0
0.000450331759654391 0.00165659893868217
-0.000209734390386748 -0.00118519001946942
0.000489002349035708 0.00174325668064452
-0.000201017636435355 -0.000759216082097968
0.000176574112025927 0
4.91763102674229e-07 0
-2.25467435945873e-05 0
2.45697348000993e-05 0
5.29043436467991e-06 0
-1.00886424350915e-05 0
9.48308055633506e-05 0
-5.71454635442397e-05 0
3.79710479028499e-05 0
3.8957053240364e-05 0
4.23393287450684e-05 0
3.66257270953512e-05 0
5.64328887888268e-05 0
6.13946236654523e-05 0
-4.1125976064946e-05 0
5.89097314054891e-05 0
6.56329981485853e-05 0
-1.28261963956432e-06 0
-5.69895672170353e-05 0
-9.67250428778369e-05 0
-1.20505352651909e-05 0
4.93396623778465e-05 0
-8.62517252119206e-05 0
-3.62579548232913e-05 0
-9.23704404323725e-05 0
-0.000506617024955443 -0.00283021518676132
3.7451688762164e-05 0
1.2526840260798e-05 0
-3.56773981935631e-06 0
-0.000133126322286786 0
-0.0001373514984132 0
-0.00015820840844506 0
-0.00014358517654083 0
-0.000136423207240965 0
-0.000655174432282389 -0.0023413111820827
-0.000517271067405533 -0.00222337417393256
-0.000281148066451697 0
6.97180087336148e-05 0
8.6449948895153e-05 0
-0.000260675517156015 0
0.000230347310056516 0.0006704416078658
9.67022200685703e-06 0
-5.36580488261043e-05 0
-0.000114074092651529 0
0.000422580996870664 0.00225616415475024
-0.000102782163787877 0
-0.000111996936558966 0
-3.68431659036343e-05 0
6.88804225175874e-05 0
-0.000119737841442434 0
-9.09287923252362e-07 0
-0.000224863052860979 0
-8.87863050158472e-05 0
-7.37885710942097e-05 0
-7.46433807689435e-05 0
-7.47168374789941e-05 0
-9.44957410670505e-05 0
9.061868919973e-05 0
-1.22351642308222e-05 0
9.79849533494285e-05 0
8.6867504212094e-05 0
0.000151166642319295 0.000643385232641766
5.71138846982259e-05 0
-1.16827116104731e-05 0
0.000151649882968105 0.000889967687359298
-0.000325828769567357 -0.00140901379340327
2.83946466789327e-05 0
-0.000159316598621037 0
-0.000147519552246731 0
-0.00025321044920752 -0.000923768107741992
-0.010427458862635 -0.0139740810122494
-0.00487681738340177 -0.00923116650777515
3.56450491203045e-05 0
0.00572884675564992 0.00856327372394377
0.000167847559457272 0
0.00196545294909225 0.00487050490522046
6.2181869331108e-05 0
-0.000283202987121043 -0.00145602392951958
0.00762115221667952 0.00924011281286648
0.000887500811254514 0.00261199260061471
5.38173083628337e-06 0
0.000795044756244502 0.00229586875922133
1.12451083707587e-05 0
0.0054109311494089 0.00847520493270928
0.00809132715093183 0.009443973993412
0.000747161651282366 0.00217514406185361
0.000889459040421221 0.00307676059818785
0.000120533543728408 0
-0.0126337308280478 -0.0166281630309543
-0.00157576697725667 -0.00703059296324649
-1.24555750277234e-05 0
-2.68996740103545e-06 0
-3.3304245706234e-05 0
-1.28131176261296e-05 0
-2.54301388261036e-05 0
-1.31308384062321e-05 0
-6.13175070710434e-06 0
-0.000148987292327197 -0.000208097859463123
-0.000101171618516508 0
-3.07758156783305e-05 0
-4.21846370280415e-05 0
-4.38790929075653e-05 0
-0.000146613900444707 -0.000226246241490049
2.21500797833417e-05 0
